Date,Views,YouTube Premium (USD),Transaction revenue (USD),Watch Page ads (USD),Estimated revenue (USD),Impressions,Impressions click-through rate (%),Watch time (hours)
Total,212450701,56293.743,310931.26,454836.955,822061.958,2055731329,7.64,105288989.2441
2021-05-17,1454645,303.045,624.82,1435.322,2363.187,11784980,9.84,517118.9221
2021-05-15,1411786,287.469,398.04,1463.979,2149.488,12982764,8.74,496206.0112
2021-05-16,1406505,315.309,888.64,1440.18,2644.129,12518973,8.96,523751.6668
2021-01-16,1367773,231.839,1329.53,1686.363,3247.732,9323133,10.35,514317.3498
2021-05-18,1284453,264.722,674.64,1492.64,2432.002,12326800,8.23,472727.383
2021-05-19,1208031,262.162,681.37,1390.191,2333.723,11685153,8.19,475556.7996
2021-05-22,1202930,246.208,479.77,1249.813,1975.792,12958073,7.33,439663.6427
2021-05-29,1190093,243.676,251.95,1175.902,1671.528,12788443,7.4,438604.4524
2021-05-21,1132547,247.589,481.06,1304.92,2033.569,12610658,7.1,439759.1154
2021-05-30,1127479,256.628,279.31,1133.105,1669.043,12230104,7.3,452669.0884
2021-06-05,1126133,219.757,285.07,1188.032,1692.86,9993589,8.9,417499.7887
2021-05-20,1105917,242.705,342.12,1339.812,1924.637,11428890,7.63,437694.1229
2021-05-28,1090988,246.119,323.9,1169.145,1739.164,11158393,7.72,448872.8054
2021-05-14,1079099,238.774,564.45,1326.765,2129.989,10322495,8.33,422025.3485
2021-05-23,1068049,239.09,742.73,1204.389,2186.209,11046457,7.61,422558.2232
2021-05-31,1067566,258.028,435.36,1208.294,1901.682,11143961,7.51,467003.1932
2021-05-26,1061703,258.413,526.71,1290.009,2075.131,10573838,7.88,467814.1163
2021-06-03,1052832,244.067,699.85,1232.869,2176.786,9527808,8.66,459190.2506
2021-01-03,1046577,193.861,539.29,1831.093,2564.244,9837235,7.33,460780.5038
2021-06-02,1043441,244.441,461.03,1460.299,2165.77,9813734,8.34,464493.2482
2021-06-04,1043017,231.74,335.46,1310.155,1877.355,9514491,8.61,432470.1894
2021-05-27,1042022,243.638,457.36,1287.692,1988.691,10244714,7.99,445353.6397
2021-01-07,1036159,213.697,13283.96,1935.616,15433.273,9853023,7.37,502418.9791
2021-01-19,1021855,198.17,815.34,1680.635,2694.144,8756122,8.04,451545.826
2021-05-24,1020039,239.961,744.76,1158.455,2143.177,9876541,8.07,430153.0669
2021-06-06,1009539,223.148,334.83,1311.355,1869.333,9098958,8.7,410849.9731
2021-01-20,1008367,180.087,342.64,1582.663,2105.39,8998094,7.67,422242.1889
2021-06-01,1005300,242,598.74,1366.314,2207.053,10219969,7.7,456541.1115
2021-05-25,1000429,243.627,330.4,1301.922,1875.949,9362412,8.35,440928.8649
2021-01-24,997405,197.525,512.11,1528.225,2237.861,8260760,8.27,438679.3276
2021-02-06,995723,169.879,207.03,1282.2,1659.108,8354429,8.16,313700.6675
2021-01-04,986256,186.189,1072.2,1787.033,3045.422,9774276,6.93,469249.7959
2021-01-17,984547,195.878,617.16,1420.175,2233.213,8218306,8.28,448489.7159
2021-02-05,983766,200.107,403.56,1585.866,2189.533,8326558,8.04,387249.4607
2021-01-06,980644,193.196,493.81,1669.366,2356.372,8549634,7.96,470596.1085
2021-01-02,977546,185.441,1141.56,1666.518,2993.518,8297684,8.07,434939.5812
2021-05-13,965254,204.26,545.62,1163.814,1913.694,8433223,9.15,382869.7269
2021-01-18,941205,188.266,567.21,1492.968,2248.444,7731432,8.33,434786.5601
2021-01-22,931480,167.838,518.43,1451.47,2137.738,8685702,7.22,391731.3272
2021-01-08,923229,186.305,3008.59,1629.789,4824.684,8779473,7.21,431966.7404
2021-06-07,921423,224.855,9239.4,1381.379,10845.634,8530314,8.4,430435.1337
2021-01-21,919970,178.848,472.24,1414.893,2065.981,8405458,7.39,413110.1151
2021-01-05,919894,193.689,653.3,1657.402,2504.391,9008274,7.03,473720.1203
2021-01-23,918239,171.764,359.41,1406.309,1937.483,8817530,7.04,381739.2411
2021-06-09,917253,227.512,1621.64,1465.222,3314.374,8346492,8.5,432326.8777
2021-06-11,905490,218.615,1026.46,1430.392,2675.467,9391684,7.5,405284.3864
2021-01-25,904637,176.336,308.1,1371.484,1855.92,7573145,8.01,411397.0717
2021-06-10,898183,223.443,1509.25,1379.072,3111.765,7907809,8.8,422904.844
2021-01-11,894741,186.044,1331.89,1644.922,3162.856,8470873,7.39,432768.6462
2021-01-01,893172,169.797,1143.26,1481.884,2794.941,6371179,9.5,426799.0977
2021-06-08,885948,221.976,2488.82,1532.3,4243.096,8217223,8.34,423173.9826
