Date,Views,YouTube Premium (USD),Transaction revenue (USD),Watch Page ads (USD),Estimated revenue (USD),Impressions,Impressions click-through rate (%),Watch time (hours)
Total,156360185,64759.693,169209.72,423003.848,656973.261,1093223277,10.74,87029867.1991
2022-08-02,1958808,406.446,201.26,2191.295,2799.002,12199673,12.08,589676.4138
2022-11-26,1241593,528.079,767.06,2734.129,4029.268,3693497,24.85,553523.3402
2022-08-03,1228436,314.238,219.79,2097.482,2631.511,9193667,10.13,470700.0767
2022-08-04,1079098,293.228,183.42,1802,2278.648,6877447,11.73,443705.0373
2022-08-05,823750,261.436,114.57,1492.132,1868.138,5899413,10.44,385395.1921
2022-08-06,785053,227.719,156.96,1737.185,2121.863,6448399,9.3,336411.5814
2022-08-07,764180,241.587,4618.13,1404.06,6263.777,7496434,7.82,354024.3807
2022-08-08,719480,243.632,1224.15,1859.448,3327.23,6699783,8.3,339305.2892
2022-01-09,683624,158.454,1331.33,1397.457,2887.241,4687499,11.03,217731.2861
2022-08-09,665638,232.455,927.05,1534.705,2694.21,5165714,9.86,325134.7669
2022-04-25,652825,214.301,196.02,0.881,411.202,5187440,9.88,288337.794
2022-04-11,630453,210.944,620.74,52.67,884.354,5399571,9.17,283617.1132
2022-04-08,619706,207.349,1442.94,49.346,1699.636,5350295,8.53,290163.1341
2022-04-10,619357,209.883,989.64,49.148,1248.671,5546612,8.35,276577.2635
2022-09-18,617013,243.75,225.41,1493.401,1962.561,2707099,17.47,296771.8942
2022-03-22,601041,191.513,253.77,1093.029,1538.312,4535953,9.92,285237.2708
2022-04-12,600265,202.637,494.16,50.482,747.279,5293882,8.85,275697.6936
2022-04-09,596277,189.778,1084.29,35.557,1309.625,5557756,7.92,261879.0541
2022-05-09,590688,206.264,1041.94,3.477,1251.681,4551505,9.9,300319.645
2022-05-08,584861,197.823,1367.95,0.28,1566.053,4414810,10.32,293638.2446
2022-04-13,583080,201.234,320.24,50.983,572.458,4922816,9.27,275982.7261
2022-04-27,581290,212.88,205.05,67.592,485.522,5097878,8.96,285105.4665
2022-04-24,580917,204.741,245.58,0.385,450.706,4489846,10.13,274980.8687
2022-11-25,580580,289.677,99.75,1730.636,2120.063,2266135,19.31,316083.7969
2022-08-10,573692,212.974,832.26,1554.758,2599.992,4104623,10.67,289229.5426
2022-05-10,571916,194.921,930.01,1.204,1126.136,4727403,9.41,292054.1543
2022-04-21,568609,211.324,216.55,0.351,428.225,4185369,10.53,285160.6296
2022-04-14,566044,195.155,297.46,48.699,541.315,4826842,9.18,265380.7228
2022-04-20,565992,207.335,167.42,0.432,375.187,4349842,10.1,286714.5782
2022-04-07,565854,197.858,5640.41,46.01,5884.277,4662218,8.97,279708.1348
2022-03-02,565732,197.525,132.07,2142.897,2472.492,5250978,8.04,284997.465
2022-04-28,564572,201.513,144.37,1.101,346.984,4866647,9.09,275130.084
2022-05-01,561105,177.343,130.22,0.451,308.013,5012218,8.75,274386.1224
2022-05-11,559413,196.987,600.78,1.246,799.013,4362305,9.91,292263.3383
2022-04-26,557533,206.447,143.1,0.642,350.189,4833052,9.07,278276.9503
2022-05-07,556939,186.981,5191.2,0.311,5378.492,4578502,9.28,275574.706
2022-04-19,555438,206.144,315.21,0.854,522.208,4227852,10.15,283539.4891
2022-04-23,553989,198.159,145.81,0.409,344.378,4827196,8.86,262302.7969
2022-04-22,552040,205.321,263.74,0.486,469.547,4613799,9.25,270191.9448
