Date,Views,YouTube Premium (USD),Transaction revenue (USD),Watch Page ads (USD),Estimated revenue (USD),Impressions,Impressions click-through rate (%),Watch time (hours)
2023-04-08,295816,154.55,907.39,1558.343,2620.282,1896778,11.76,172533.2232
2023-02-16,295555,191.87,250.99,1120.556,1563.416,1493565,14.57,209355.5927
2023-02-04,295100,191.606,70.41,720.122,982.137,1729916,12.34,201895.4394
2023-04-11,294227,178.477,434.72,1945.093,2558.29,1697752,13.13,192270.3814
2023-04-17,294046,171.981,261.05,1893.347,2326.378,1626115,13.67,186265.5737
2023-02-18,292682,186.523,184.68,835.593,1206.796,1656744,13.04,195928.4754
2023-02-17,291814,201.669,285.57,956.822,1444.06,1495309,14.33,213867.7374
2023-02-23,291410,192.869,144.6,917.172,1254.64,1412052,15.07,211158.4791
2023-04-18,290290,167.7,195.12,1954.582,2317.402,1652410,13.29,183685.4743
2023-03-20,290043,168.792,107.28,1968.293,2244.366,1291404,16.3,194615.507
2023-03-01,288126,173.911,90.55,950.057,1214.518,1343771,15.86,205597.0485
2023-04-20,286955,169.668,122.09,2103.59,2395.348,1576582,13.67,182835.3463
2023-05-18,286634,159.526,158.18,1625.969,1943.675,1313396,16.13,177470.5773
2023-03-30,286611,139.949,57.62,1481.243,1678.813,2428326,8.56,159521.329
2023-02-28,284946,192.956,150.25,921.878,1265.084,1403242,14.98,206156.9116
2023-02-10,284944,190.221,895.19,784.68,1870.091,1490559,14.03,202146.8064
2023-04-03,284693,157.278,80.69,1635.808,1873.777,1862559,11.69,169867.6345
2023-04-22,284153,146.789,147.32,1407.09,1701.199,1545595,13.77,163358.2914
2023-03-31,283960,139.037,45.14,1402.462,1586.639,2905564,7.28,161147.7489
2023-03-22,282574,164.724,138.65,1862.422,2165.796,1299993,15.74,192116.3769
2023-03-21,282482,165.759,252.1,1854.386,2272.245,1314379,15.55,191737.6838
2023-04-16,280689,157.395,221.02,1700.637,2079.051,1552488,13.58,177872.2112
2023-03-03,280369,165.889,95.49,1027.971,1289.349,1348513,15.25,197483.9912
2023-03-16,279905,168.3,251.69,1930.673,2350.663,1306092,15.67,191020.0658
2023-05-30,279850,156.025,56.8,1746.298,1959.122,1332404,15.63,171801.5177
